Round,Result,Player Profile,Opponent Profile,Record,Location
271,6,giliad,giliad,victormanuelobo,2-1-0,rc_sao_paulo_11_01_2025
272,7,giliad,giliad,PolarMar,2-0-0,rc_sao_paulo_11_01_2025
275,1,raphaludo,raphaludo,Cba,2-1-0,rc_sao_paulo_11_01_2025
276,2,raphaludo,raphaludo,igorpuppim,2-0-0,rc_sao_paulo_11_01_2025
277,3,raphaludo,raphaludo,zveibil,2-0-0,rc_sao_paulo_11_01_2025
278,4,raphaludo,raphaludo,Casatti,2-1-0,rc_sao_paulo_11_01_2025
281,7,raphaludo,raphaludo,gabrielstone,2-0-0,rc_sao_paulo_11_01_2025
282,8,raphaludo,raphaludo,Rulior,2-0-0,rc_sao_paulo_11_01_2025
284,1,msalles,msalles,GabrielF,2-0-0,rc_sao_paulo_11_01_2025
285,2,msalles,msalles,adrienhv,2-0-0,rc_sao_paulo_11_01_2025
287,4,msalles,msalles,Gullyt,2-1-0,rc_sao_paulo_11_01_2025
288,5,msalles,msalles,DarkBone,2-0-0,rc_sao_paulo_11_01_2025
289,6,msalles,msalles,raphaludo,2-0-0,rc_sao_paulo_11_01_2025
292,9,msalles,msalles,Marcelopez,2-0-0,rc_sao_paulo_11_01_2025
293,1,patrick50,patrick50,GPicolo,2-0-0,rc_sao_paulo_11_01_2025
294,2,patrick50,patrick50,dorkalmeida,2-0-0,rc_sao_paulo_11_01_2025
296,4,patrick50,patrick50,Nervos0,2-0-0,rc_sao_paulo_11_01_2025
297,5,patrick50,patrick50,p4nch020,2-0-0,rc_sao_paulo_11_01_2025
298,6,patrick50,patrick50,ThalesBion,2-1-0,rc_sao_paulo_11_01_2025
299,7,patrick50,patrick50,arturcosta,2-1-0,rc_sao_paulo_11_01_2025
302,1,l1x0,l1x0,GBracale,2-0-0,rc_sao_paulo_11_01_2025
303,2,l1x0,l1x0,AlexandreLomba,2-1-0,rc_sao_paulo_11_01_2025
305,4,l1x0,l1x0,CamiloC,2-0-0,rc_sao_paulo_11_01_2025
306,5,l1x0,l1x0,Treuko,2-1-0,rc_sao_paulo_11_01_2025
307,6,l1x0,l1x0,Jucamoser,2-0-0,rc_sao_paulo_11_01_2025
310,9,l1x0,l1x0,victormanuelobo,2-1-0,rc_sao_paulo_11_01_2025
311,1,rxavier,rxavier,Zezito,2-1-0,rc_sao_paulo_11_01_2025
312,2,rxavier,rxavier,RenzoArana,2-0-0,rc_sao_paulo_11_01_2025
314,4,rxavier,rxavier,GPicolo,2-0-0,rc_sao_paulo_11_01_2025
315,5,rxavier,rxavier,mateusmayer,2-0-0,rc_sao_paulo_11_01_2025
316,6,rxavier,rxavier,PedroM,2-0-0,rc_sao_paulo_11_01_2025
318,8,rxavier,rxavier,MTrulin,2-1-0,rc_sao_paulo_11_01_2025
321,2,Isael,Isael,Cless,2-0-0,rc_sao_paulo_11_01_2025
322,3,Isael,Isael,mariovieira,2-1-0,rc_sao_paulo_11_01_2025
324,5,Isael,Isael,Matheuspagnan,2-1-0,rc_sao_paulo_11_01_2025
325,6,Isael,Isael,Julian,2-1-0,rc_sao_paulo_11_01_2025
326,7,Isael,Isael,niitroo,2-1-0,rc_sao_paulo_11_01_2025
327,8,Isael,Isael,arturcosta,2-0-0,rc_sao_paulo_11_01_2025
329,1,arturcosta,arturcosta,kcomedina,2-1-0,rc_sao_paulo_11_01_2025
330,2,arturcosta,arturcosta,Renzoch,2-0-0,rc_sao_paulo_11_01_2025
331,3,arturcosta,arturcosta,Dido,2-1-0,rc_sao_paulo_11_01_2025
333,5,arturcosta,arturcosta,Bassotld,2-1-0,rc_sao_paulo_11_01_2025
334,6,arturcosta,arturcosta,NicoDays,2-0-0,rc_sao_paulo_11_01_2025
337,9,arturcosta,arturcosta,Casatti,2-0-0,rc_sao_paulo_11_01_2025
338,1,Samsaquibuz,Samsaquibuz,FrankWillian,2-0-0,rc_sao_paulo_11_01_2025
339,2,Samsaquibuz,Samsaquibuz,sjimmysam,2-0-0,rc_sao_paulo_11_01_2025
340,3,Samsaquibuz,Samsaquibuz,Caduerrerias,2-0-0,rc_sao_paulo_11_01_2025
343,6,Samsaquibuz,Samsaquibuz,Bassotld,2-1-0,rc_sao_paulo_11_01_2025
345,8,Samsaquibuz,Samsaquibuz,leoolisan,2-0-0,rc_sao_paulo_11_01_2025
346,9,Samsaquibuz,Samsaquibuz,giorepe,2-0-0,rc_sao_paulo_11_01_2025
347,1,mateusmayer,mateusmayer,Feio,2-1-0,rc_sao_paulo_11_01_2025
349,3,mateusmayer,mateusmayer,Cabrall1984,2-0-0,rc_sao_paulo_11_01_2025
350,4,mateusmayer,mateusmayer,galaz70,2-1-0,rc_sao_paulo_11_01_2025
352,6,mateusmayer,mateusmayer,Schiaveto,2-1-0,rc_sao_paulo_11_01_2025
